Date;Close
23/10/2018;45007.5
22/10/2018;46034.49
19/10/2018;45895.36
18/10/2018;45935.95
17/10/2018;46163.87
16/10/2018;47007.19
15/10/2018;46295.03
12/10/2018;47272.6
11/10/2018;46050.35
10/10/2018;46625.6
09/10/2018;47970.68
08/10/2018;48041.88
05/10/2018;48258.14
04/10/2018;48908.52
03/10/2018;48992.63
02/10/2018;49263.49
01/10/2018;49587.39
28/9/2018;49520.66
27/9/2018;49800.78
26/9/2018;50361.86
25/9/2018;50659.46
21/9/2018;50987.15
20/9/2018;50397.19
19/9/2018;50272.01
18/9/2018;50219.77
17/9/2018;50196.92
14/9/2018;50440.98
13/9/2018;49991.17
12/9/2018;49814.74
11/9/2018;50042.09
10/9/2018;50544.69
07/9/2018;50832.75
06/9/2018;50893.14
05/9/2018;50832.73
04/9/2018;51691.03
03/9/2018;52435.45
31/8/2018;52464.01
30/8/2018;52650.2
29/8/2018;54030.6
28/8/2018;53883.33
27/8/2018;53554.61
24/8/2018;52741.71
23/8/2018;52131.76
22/8/2018;52061.61
21/8/2018;51125.84
20/8/2018;51101.53
17/8/2018;50601.89
16/8/2018;50506.38
15/8/2018;49615.06
14/8/2018;51551.75
13/8/2018;51821.39
10/8/2018;51577.23
08/8/2018;51615.86
07/8/2018;51578.06
06/8/2018;50784.44
03/8/2018;50988.46
02/8/2018;50340.48
01/8/2018;51276.97
31/7/2018;51315
30/7/2018;51227.68
27/7/2018;51126.9
26/7/2018;50703.73
25/7/2018;50321.55
24/7/2018;50989.64
23/7/2018;50481.32
20/7/2018;50904.2
19/7/2018;50199.7
18/7/2018;50168.74
17/7/2018;49995.66
16/7/2018;49338.95
13/7/2018;50244.08
12/7/2018;50672.38
11/7/2018;51044.56
10/7/2018;51795.51
09/7/2018;51992.92
06/7/2018;51122.67
05/7/2018;51193.98
04/7/2018;51374.29
03/7/2018;51286.82
02/7/2018;50979.87
29/6/2018;51516.06
28/6/2018;49776.92
27/6/2018;49329.6
26/6/2018;49138.59
25/6/2018;49707.7
22/6/2018;50623.1
21/6/2018;50023.54
20/6/2018;50396.44
19/6/2018;50020.4
18/6/2018;51004.93
15/6/2018;51327.7
14/6/2018;52178.24
13/6/2018;52200.03
12/6/2018;51909.4
11/6/2018;51835.44
08/6/2018;51881.93
07/6/2018;52037.69
06/6/2018;51736.77
05/6/2018;51413.93
04/6/2018;51404.55
01/6/2018;50875.01
31/5/2018;49783.92
30/5/2018;49287.33
29/5/2018;49622.54
28/5/2018;50550.69
25/5/2018;50541.99
24/5/2018;50345.5
23/5/2018;50599.95
22/5/2018;51598.33
21/5/2018;51310.87
18/5/2018;51292.18
17/5/2018;51675.02
16/5/2018;52108.1
15/5/2018;51333.23
14/5/2018;52000.48
11/5/2018;51822.78
10/5/2018;51493.07
09/5/2018;51279.36
08/5/2018;51002.58
07/5/2018;51148.85
04/5/2018;50873.59
03/5/2018;50408.15
02/5/2018;51553.86
30/4/2018;51419.22
26/4/2018;50684.22
25/4/2018;50234.85
24/4/2018;50871.02
23/4/2018;50877.98
20/4/2018;50765.88
19/4/2018;50729.19
18/4/2018;51025.8
17/4/2018;50176
16/4/2018;50121.2
13/4/2018;49882.87
12/4/2018;49808.95
11/4/2018;49472.9
10/4/2018;50036.07
09/4/2018;49391.36
06/4/2018;49140.59
05/4/2018;49097.22
04/4/2018;48051.9
03/4/2018;48179.94
29/3/2018;48794.5
28/3/2018;48139.78
27/3/2018;49417.76
26/3/2018;49566.23
23/3/2018;49755.2
22/3/2018;50517.26
20/3/2018;51615.22
19/3/2018;51434.84
16/3/2018;51421.64
15/3/2018;51613.14
14/3/2018;51788.83
13/3/2018;52371.5
12/3/2018;52440.89
09/3/2018;52348.57
08/3/2018;52057.14
07/3/2018;52005.09
06/3/2018;52257.99
05/3/2018;51021.75
02/3/2018;50824.62
01/3/2018;51011.02
28/2/2018;51383.45
27/2/2018;52033.51
26/2/2018;51861.36
23/2/2018;51747.15
22/2/2018;51258.52
21/2/2018;51727.37
20/2/2018;51020.46
19/2/2018;51717.42
16/2/2018;52110.8
15/2/2018;52565.45
14/2/2018;50556
13/2/2018;50405.03
12/2/2018;49544.32
09/2/2018;49287.45
08/2/2018;49934.79
07/2/2018;50182.35
06/2/2018;49855.83
05/2/2018;50496.3
02/2/2018;51908.17
01/2/2018;52453.7
31/1/2018;52614.65
30/1/2018;52700
29/1/2018;53863.76
26/1/2018;54530.63
25/1/2018;54558.02
24/1/2018;54575.94
23/1/2018;54521.81
22/1/2018;54165.85
19/1/2018;54058.74
18/1/2018;54010.49
17/1/2018;54068.84
16/1/2018;53777.68
15/1/2018;53431.53
12/1/2018;53296.1
11/1/2018;52824.8
10/1/2018;53167.96
09/1/2018;53184.36
08/1/2018;53131.7
05/1/2018;52842.68
04/1/2018;52662.63
03/1/2018;52832.07
02/1/2018;52823.99
29/12/2017;52533.04
28/12/2017;52071.17
27/12/2017;51986.69
22/12/2017;52063.77
21/12/2017;52082.44
20/12/2017;51268.87
19/12/2017;51266.37
18/12/2017;51026.84
15/12/2017;50953.23
14/12/2017;51498.36
13/12/2017;51151.27
12/12/2017;51312.31
11/12/2017;51711.22
08/12/2017;51671.17
07/12/2017;51656.57
06/12/2017;51572.45
05/12/2017;52412.51
04/12/2017;53076.58
01/12/2017;52888.36
30/11/2017;53269.83
29/11/2017;53957.06
28/11/2017;53645.44
27/11/2017;53810.97
24/11/2017;53998.14
23/11/2017;53995.77
22/11/2017;54494.44
21/11/2017;55065.37
20/11/2017;54327.42
17/11/2017;53909.14
16/11/2017;53378.66
15/11/2017;53004.17
14/11/2017;53273.74
13/11/2017;53531.21
10/11/2017;53424.93
09/11/2017;53513.82
08/11/2017;53730.6
07/11/2017;53832.95
06/11/2017;53563.68
03/11/2017;53198.96
02/11/2017;52845.63
01/11/2017;53056.59
31/10/2017;52570.2
30/10/2017;52479.18
27/10/2017;52403.45
26/10/2017;52273.52
25/10/2017;51857.61
24/10/2017;51597.49
23/10/2017;51669.89
20/10/2017;51600.66
19/10/2017;51525.52
18/10/2017;51747.21
17/10/2017;51510.16
16/10/2017;51713.37
13/10/2017;51450.39
12/10/2017;51352.82
11/10/2017;51438.55
10/10/2017;51362.73
09/10/2017;51323.23
06/10/2017;51010.38
05/10/2017;50786.4
04/10/2017;50542.41
03/10/2017;50139.93
02/10/2017;49609.58
29/9/2017;49376.46
28/9/2017;48842.89
27/9/2017;49018.25
26/9/2017;48819.35
22/9/2017;49564.68
21/9/2017;49548.85
20/9/2017;49575.88
19/9/2017;49751.7
18/9/2017;49736.54
15/9/2017;49274.6
14/9/2017;49514.83
13/9/2017;49783.59
12/9/2017;49970.85
11/9/2017;49627.54
08/9/2017;49274.03
07/9/2017;49430.81
06/9/2017;49023.66
05/9/2017;49642.75
04/9/2017;49796.71
01/9/2017;49996.4
31/8/2017;49997.27
30/8/2017;49674.92
29/8/2017;49883.28
28/8/2017;50058.29
25/8/2017;50175.33
24/8/2017;50101.48
23/8/2017;49734.51
22/8/2017;49588.44
21/8/2017;49029
18/8/2017;48929.87
17/8/2017;49065.81
16/8/2017;49211.76
15/8/2017;48655.12
14/8/2017;49108.55
11/8/2017;48766.71
10/8/2017;49303.27
08/8/2017;49572.69
07/8/2017;49763.82
04/8/2017;49506.15
03/8/2017;49243.79
02/8/2017;48811.07
01/8/2017;49038.68
31/7/2017;48873.13
28/7/2017;48551.29
27/7/2017;48569.42
26/7/2017;48563.79
25/7/2017;48223.29
24/7/2017;48058.35
21/7/2017;47801.91
20/7/2017;47909.93
19/7/2017;47748.68
18/7/2017;46927.84
17/7/2017;47499.6
14/7/2017;47309.26
13/7/2017;47056.02
12/7/2017;46674.35
11/7/2017;46192.63
10/7/2017;45976.56
07/7/2017;45670.49
06/7/2017;46000.77
05/7/2017;46241.44
04/7/2017;45819.88
03/7/2017;45994.44
30/6/2017;45421.76
29/6/2017;45211.74
28/6/2017;45504.55
27/6/2017;45288.38
26/6/2017;45113.21
23/6/2017;45358.66
22/6/2017;44944.65
21/6/2017;45213.45
20/6/2017;44970.49
19/6/2017;45381.2
15/6/2017;44512.15
14/6/2017;45084.86
13/6/2017;45264.87
12/6/2017;45168.67
09/6/2017;45874.22
08/6/2017;45733.78
07/6/2017;45809.08
06/6/2017;45889.51
05/6/2017;46442.07
02/6/2017;46522.53
01/6/2017;46487.5
31/5/2017;47153.91
30/5/2017;47699.35
29/5/2017;47533.5
26/5/2017;47535.43
25/5/2017;47572.16
24/5/2017;47822.12
23/5/2017;48046.16
22/5/2017;48005.19
19/5/2017;47962.6
18/5/2017;47769.43
17/5/2017;47504.07
16/5/2017;47426.96
15/5/2017;47436.82
12/5/2017;47430.43
11/5/2017;47488.45
10/5/2017;47635.58
09/5/2017;47561.08
08/5/2017;47076.82
05/5/2017;47009.79
04/5/2017;46747.06
03/5/2017;46917.89
02/5/2017;47138.85
28/4/2017;47071.73
26/4/2017;46984.45
25/4/2017;46524.76
24/4/2017;46187.93
21/4/2017;45500.98
20/4/2017;45735.57
19/4/2017;45771.96
18/4/2017;45873.22
13/4/2017;46644.49
12/4/2017;46747.19
11/4/2017;46757.54
10/4/2017;46422.49
07/4/2017;46085.03
06/4/2017;46170.1
05/4/2017;46149.85
04/4/2017;45746.93
03/4/2017;45561.09
31/3/2017;45167.15
30/3/2017;45220.39
29/3/2017;45404.69
28/3/2017;45215.36
27/3/2017;44660.9
24/3/2017;44662.6
23/3/2017;44845.23
22/3/2017;44855.72
20/3/2017;45507.67
17/3/2017;45309.36
16/3/2017;45523.12
15/3/2017;44655.55
14/3/2017;44652.55
13/3/2017;44846.34
10/3/2017;44304.31
09/3/2017;43953.15
08/3/2017;44326.35
07/3/2017;44340.33
06/3/2017;44425.26
03/3/2017;44636.3
02/3/2017;44836.9
01/3/2017;44676.91
28/2/2017;44131.37
27/2/2017;44462.75
24/2/2017;44580.51
23/2/2017;45105.98
22/2/2017;45073.61
21/2/2017;45555.98
20/2/2017;45506.2
17/2/2017;45074.63
16/2/2017;45485.46
15/2/2017;45410.71
14/2/2017;45437.28
13/2/2017;45941.81
10/2/2017;45756.81
09/2/2017;45013.25
08/2/2017;44922.93
07/2/2017;45366.88
06/2/2017;45353.95
03/2/2017;45417.57
02/2/2017;45861.98
01/2/2017;46212.83
31/1/2017;45928.7
30/1/2017;45851.78
27/1/2017;46146.76
26/1/2017;46497.5
25/1/2017;46365.74
24/1/2017;46461.91
23/1/2017;46237.18
20/1/2017;45780.79
19/1/2017;46102.45
18/1/2017;46113.55
17/1/2017;46045.01
16/1/2017;46333.08
13/1/2017;46067.2
12/1/2017;45720.2
11/1/2017;45745.62
10/1/2017;45019.8
09/1/2017;44306.47
06/1/2017;44456.49
05/1/2017;43681.89
04/1/2017;43963.22
03/1/2017;44261.26
30/12/2016;43901.99
29/12/2016;43977.34
28/12/2016;43682.37
23/12/2016;42860.5
22/12/2016;43284.11
21/12/2016;43563.99
20/12/2016;43755.03
19/12/2016;43332.17
15/12/2016;43165.26
14/12/2016;44051.7
13/12/2016;44170.66
12/12/2016;43892.51
09/12/2016;44220.24
08/12/2016;43891.07
07/12/2016;42927.17
06/12/2016;42422.36
05/12/2016;43192.44
02/12/2016;42822.16
01/12/2016;43412.41
30/11/2016;43691.42
29/11/2016;43602.72
28/11/2016;43616.91
25/11/2016;44208.66
24/11/2016;44082.2
23/11/2016;44076.88
22/11/2016;44575.06
21/11/2016;44169.8
18/11/2016;44216.56
17/11/2016;44171.47
16/11/2016;43592.38
15/11/2016;43088.09
14/11/2016;43466.18
11/11/2016;43995.65
10/11/2016;45022.99
09/11/2016;44494.27
08/11/2016;44199.79
07/11/2016;43842.82
04/11/2016;43229.65
03/11/2016;43712.31
02/11/2016;43835.34
01/11/2016;44444.48
31/10/2016;44019.39
28/10/2016;44308.17
27/10/2016;44591.05
26/10/2016;45011.09
25/10/2016;45201.6
24/10/2016;45134.28
21/10/2016;45069.02
20/10/2016;44865.96
19/10/2016;44939.76
18/10/2016;44543.12
17/10/2016;44253.15
14/10/2016;44658.61
13/10/2016;44005.78
12/10/2016;45048.57
11/10/2016;45395.72
10/10/2016;45118.12
07/10/2016;45112.11
06/10/2016;45051.08
05/10/2016;45308.48
04/10/2016;45473.03
03/10/2016;45107.14
30/9/2016;45425.59
29/9/2016;46095.38
28/9/2016;45234.26
27/9/2016;44397.13
26/9/2016;44963.91
23/9/2016;45440.23
22/9/2016;45307.58
21/9/2016;44284.63
20/9/2016;44864.62
19/9/2016;45496.21
16/9/2016;45430.38
15/9/2016;45713.44
14/9/2016;45985.07
13/9/2016;46274.97
12/9/2016;46294.07
09/9/2016;46734.92
08/9/2016;46588.71
07/9/2016;46777.09
06/9/2016;47008.42
